Doc ID,Title,URL,Category,Draft,Doc Type,Role,Last Updated,Author,Description,Keywords,File Path
api/cosmosdb/feedback-and-surveys,Feedback and Surveys,/api/cosmosdb/feedback-and-surveys/,APIs & SDKs > CosmosDB Service Module,,,,1/20/2026,Patricia McPhee,"API reference for user feedback, survey templates, and survey submissions management.",,content/docs/api/cosmosdb/feedback-and-surveys.mdx
api/cosmosdb/billing-and-plans,Billing and Plan Enforcement,/api/cosmosdb/billing-and-plans/,APIs & SDKs > CosmosDB Service Module,,,,1/20/2026,Patricia McPhee,"API reference for plan-based limits, feature checks, usage tracking, and billing management.",,content/docs/api/cosmosdb/billing-and-plans.mdx
api/cosmosdb/authentication,Authentication Utilities,/api/cosmosdb/authentication/,APIs & SDKs > CosmosDB Service Module,,,,1/20/2026,Patricia McPhee,"API reference for Azure Static Web Apps authentication, user extraction, and role-based access validation.",,content/docs/api/cosmosdb/authentication.mdx
api/cosmosdb/helpers,Helpers and Plan Configuration,/api/cosmosdb/helpers/,APIs & SDKs > CosmosDB Service Module,,,,1/20/2026,Patricia McPhee,ID generation utilities and re-exported plan configuration helpers.,,content/docs/api/cosmosdb/helpers.mdx
api/document-comments-api,Document Comments API,/api/document-comments-api/,APIs & SDKs,,,,1/20/2026,Patricia McPhee,API for managing documents and comments within a project,,content/docs/api/document-comments-api.mdx
api/feedback-api,Feedback API,/api/feedback-api/,APIs & SDKs,,,,1/20/2026,Patricia McPhee,The Feedback API handles user feedback submissions and admin management of those submissions.,,content/docs/api/feedback-api.mdx
api/invitations-api,Invitations API,/api/invitations-api/,APIs & SDKs,,,,1/20/2026,Patricia McPhee,"The Invitations API manages team invitation workflows, including verification, acceptance, and listing of pending invitations.",,content/docs/api/invitations-api.mdx
api/scout-ai-rest-api,Scout AI REST API,/api/scout-ai-rest-api/,APIs & SDKs,,reference,,8/22/2024,Patricia McPhee,"The Scout AI REST API provides endpoints for managing AI agents, including creation, retrieval, updating, deletion, and execution of agents within a project.",scout ai; api; agents,content/docs/api/scout-ai-rest-api.mdx
sdk/scout-ai-client-sdk,Scout AI Client SDK Reference,/sdk/scout-ai-client-sdk/,APIs & SDKs,,reference,,1/16/2026,Patricia McPhee,"Comprehensive reference for the ScoutAIClient class, including all methods, parameters, return types, and error handling. Use this guide to understand how to interact with the Scout AI API through the client SDK.",scout ai; api; sdk; client,content/docs/sdk/scout-ai-client-sdk.mdx
developer-portal/techdocs-and-mkdocs-plugins,TechDocs and MkDocs plugins,/developer-portal/techdocs-and-mkdocs-plugins/,Developer Portal,,reference,,3/3/2026,Patricia McPhee,Explore the plugins bundled in TechDocs and additional options available in Backstage's build environment.,TechDocs; MkDocs,content/docs/developer-portal/techdocs-and-mkdocs-plugins.mdx
template-editor/using-template-editor,Using the Backstage Template Editor,/template-editor/using-template-editor/,Developer Portal,,overview,,6/4/2025,Patricia McPhee,"Accelerate template development with the Template Editor, enabling live previews and testing before merging into the main software-templates repository.",templates; template editor; YAML; custom fields; scaffolding; template creation; form editor,content/docs/template-editor/using-template-editor.mdx
portfolio/jira-toolkit,AI Toolkit,/portfolio/jira-toolkit/,(top-level),,guide,,3/3/2026,Patricia McPhee,"A reusable prompt and validation pattern for structured, developer-ready outputs.",prompt engineering; AI enablement; JIRA; validation; structured prompts,content/docs/portfolio/jira-toolkit.mdx
portfolio/jira-toolkit,Structured prompt toolkit,/portfolio/jira-toolkit/,AI Toolkit,,guide,,3/3/2026,Patricia McPhee,"A reusable prompt and validation pattern for structured, developer-ready outputs.",prompt engineering; AI enablement; JIRA; validation; structured prompts,content/docs/portfolio/jira-toolkit.mdx
portfolio/sidebar-redesign,UX/UI,/portfolio/sidebar-redesign/,(top-level),,case-study,,3/3/2026,Patricia McPhee,Reducing friction in high-frequency developer workflows through Backstage sidebar redesign.,UX design; Backstage; sidebar; navigation; developer portal,content/docs/portfolio/sidebar-redesign.mdx
portfolio/sidebar-redesign,Developer portal navigation redesign,/portfolio/sidebar-redesign/,UX/UI,,case-study,,3/3/2026,Patricia McPhee,Reducing friction in high-frequency developer workflows through Backstage sidebar redesign.,UX design; Backstage; sidebar; navigation; developer portal,content/docs/portfolio/sidebar-redesign.mdx
portfolio/create-page-redesign,Template catalog redesign,/portfolio/create-page-redesign/,UX/UI,,case-study,,3/3/2026,Patricia McPhee,Improving developer self-service template discovery and adoption.,UX design; template catalog; developer self-service; Backstage,content/docs/portfolio/create-page-redesign.mdx
style-guide/,Style Guide,/style-guide//,(top-level),,how-to,,8/22/2024,Patricia McPhee,Learn how to write technical content when contributing to the user documentation.,style guide; writing; technical content,content/docs/style-guide/index.mdx
style-guide/voice-tone,Voice and Tone,/style-guide/voice-tone/,Style Guide,,reference,,8/22/2024,Patricia McPhee,"Discover the principles of voice and tone in end-user documentation, focusing on clarity, adaptability, and user-centric communication.",voice; tone; writing style; documentation voice; user communication; tone adaptation; instructional writing; professional tone; empathetic communication,content/docs/style-guide/voice-tone.mdx
style-guide/common-mistakes,Common Documentation Mistakes,/style-guide/common-mistakes/,Style Guide,,reference,,9/6/2024,Patricia McPhee,"Learn about common pitfalls in writing technical documentation for end-users, including verbosity, jargon, poor structure, and more.",common mistakes; technical documentation; writing tips; documentation pitfalls; user-friendly content; end-user documentation,content/docs/style-guide/common-mistakes.mdx
style-guide/writing-guidelines,Writing Guidelines,/style-guide/writing-guidelines/,Style Guide,,reference,,12/13/2024,Patricia McPhee,"Learn how to create effective technical documentation for consumers and contributors, focusing on clarity, simplicity, and depth to meet user needs effectively.",writing; documentation; technical documentation; writing guidelines; consumer documentation; contributor documentation; documentation roles; documentation writing; documentation quality; documentation structure; documentation principles,content/docs/style-guide/writing-guidelines.mdx
style-guide/headings-titles,Headings and Titles,/style-guide/headings-titles/,Style Guide > Writing Guidelines,,reference,,9/7/2024,Patricia McPhee,"Learn how to structure effective headings and titles for better readability, organization, and user engagement in technical documentation.",headings; titles; capitalization; structure; organization; title case; sentence case; technical writing; readability; UI text; hierarchy; formatting; documentation tips; effective headings,content/docs/style-guide/headings-titles.mdx
style-guide/paragraphs,Paragraphs,/style-guide/paragraphs/,Style Guide > Writing Guidelines,,reference,,9/7/2024,Patricia McPhee,"Learn to craft concise, scannable paragraphs that enhance readability and user engagement in technical documentation.",paragraphs; engaging; scannable; concise writing; technical writing; readability; content creation; documentation best practices,content/docs/style-guide/paragraphs.mdx
style-guide/word-usage,Word and Acronym Usage,/style-guide/word-usage/,Style Guide > Writing Guidelines,,reference,,8/22/2024,Patricia McPhee,"Master the principles of word usage and acronym handling in technical documentation to improve clarity, accessibility, and user engagement.",word usage; acronyms; abbreviations; writing guidelines; technical writing; style guide; documentation best practices; clarity in writing; user experience; writing standards; please; click; select; choose; press; hit; avoid ambiguity; ensure; confirm; effective communication,content/docs/style-guide/word-usage.mdx
style-guide/hyperlinks,Hyperlinks,/style-guide/hyperlinks/,Style Guide > Writing Guidelines,,reference,,9/6/2024,Patricia McPhee,"Learn best practices for creating informative, user-friendly, and SEO-optimized hyperlinks that enhance content usability and navigation.",hyperlinks; best practices; SEO; content usability; navigation; user-friendly design; writing tips,content/docs/style-guide/hyperlinks.mdx
style-guide/images-screenshots,Images and Screenshots,/style-guide/images-screenshots/,Style Guide > Writing Guidelines,,reference,,12/16/2024,Patricia McPhee,"Comprehensive guidelines for capturing, editing, and describing visual content, including screenshots, diagrams, and UI elements, to ensure clarity, consistency, and accessibility in technical documentation.",images; screenshots; visual content; alt-text; accessibility; diagrams; UI; CLI; technical documentation,content/docs/style-guide/images-screenshots.mdx
style-guide/ordered-unordered-lists,Lists (Ordered and Unordered),/style-guide/ordered-unordered-lists/,Style Guide > Writing Guidelines,,reference,,9/7/2024,Patricia McPhee,"Learn how to effectively use ordered and unordered lists to improve readability, simplify complex information, and enhance technical documentation.",lists; ordered lists; unordered lists; numbered lists; bullet points; bullet lists; formatting; readability; technical documentation; writing guidelines; writing tips,content/docs/style-guide/ordered-unordered-lists.mdx
style-guide/reusing-content,Content Reuse,/style-guide/reusing-content/,Style Guide > Writing Guidelines,,how-to,,9/23/2024,Patricia McPhee,Learn how to scale your documentation with reusable content blocks and modular writing techniques.,content reuse; content blocks; modular content; scalability; structured content; reusable documentation; partial files; MDX; Docusaurus,content/docs/style-guide/reusing-content.mdx
style-guide/ai-generated-content,Tips for AI-Generated Contents,/style-guide/ai-generated-content/,Style Guide > Writing Guidelines,,reference,,12/17/2024,Patricia McPhee,"Learn how to create AI-generated content for technical documentation, including guidelines for quality, accuracy, and user-friendliness.",AI-generated content; technical documentation; guidelines; best practices; pitfalls; quality; accuracy; user-friendliness,content/docs/style-guide/ai-generated-content.mdx
style-guide/writing-effective-procedures,Writing Effective Procedures,/style-guide/writing-effective-procedures/,Style Guide > Writing Guidelines,,how-to,,8/22/2024,Patricia McPhee,"Learn to write clear, concise, and user-friendly procedures to enhance the quality of technical documentation and improve user experience.",effective procedures; technical documentation; writing guidelines; technical writing; style guide; documentation best practices; clarity in writing; user experience; writing standards; procedures; instructions; user-friendly; clarity; simplicity; task-oriented; user experience; engineers; technical knowledge; accessible instructions; technical communication; step-by-step guides; instructional writing; process documentation; documentation clarity; engineering documentation; writing tips; usability; structured content; writing workflows,content/docs/style-guide/writing-effective-procedures.mdx
style-guide/tips-for-effective-yaml-inputs,UX Writing Tips for YAML Files,/style-guide/tips-for-effective-yaml-inputs/,Style Guide > Writing Guidelines,,reference,,12/13/2024,Patricia McPhee,"Actionable tips for engineers and developers to improve clarity, brevity, and effectiveness in YAML metadata inputs for catalog-info.yaml and template.yaml files, ensuring better understanding and usability across teams.",tips; yaml; inputs; writing; documentation; ux writing; microcopy; catalog-info.yaml; template.yaml; metadata; engineering; clarity; brevity; effectiveness; developers; yaml best practices; formatting,content/docs/style-guide/tips-for-effective-yaml-inputs.mdx
style-guide/writing-effective-error-messages,Writing Effective Error Messages,/style-guide/writing-effective-error-messages/,Style Guide > Writing Guidelines,,reference,,10/16/2025,Patricia McPhee,"Actionable tips for engineers and developers to improve clarity, brevity, and effectiveness in error messages, ensuring better understanding and usability across teams.",tips; error messages; writing; documentation; ux writing; microcopy; error handling; engineering; clarity; brevity; effectiveness; developers; error message best practices; formatting,content/docs/style-guide/writing-effective-error-messages.mdx
style-guide/writing-release-notes,Writing Release Notes,/style-guide/writing-release-notes/,Style Guide > Writing Guidelines,Yes,how-to,,1/5/2025,Patricia McPhee,"Learn how to write effective release notes that inform users about new features, enhancements, and bug fixes in your product.",release notes; changelogs; user-facing changes; user experience; documentation; writing; best practices; process; format; structure; content guidelines; style principles; screenshots; formulas; improvements; known issues; creating; release announcement,content/docs/style-guide/writing-release-notes.mdx
